model,family,preprocessor,fold,seed,status,error,warnings,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,fit_time_sec,predict_time_sec,run_id,scenario,scenario_description
mlp,neural_network,standard,2,1,ok,,,0.763,0.684047619047619,0.6375545851528385,0.4866666666666667,0.5519848771266541,0.7724190476190477,0.612028200000168,0.04914020000069286,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
mlp,neural_network,standard,3,1,ok,,,0.767,0.664047619047619,0.6892655367231638,0.4066666666666667,0.5115303983228512,0.7758238095238096,0.4039463999997679,0.04817719999937253,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
dummy,baseline,standard,1,0,ok,,,0.9,0.5,0.0,0.0,0.0,0.5,0.10188269999980548,0.045177600000897655,20260429_110129,class_imbalance,Classe positive rare.
dummy,baseline,standard,2,0,ok,,,0.9,0.5,0.0,0.0,0.0,0.5,0.09956659999988915,0.04480779999994411,20260429_110129,class_imbalance,Classe positive rare.
dummy,baseline,standard,3,0,ok,,,0.9,0.5,0.0,0.0,0.0,0.5,0.09876770000028046,0.04676000000017666,20260429_110129,class_imbalance,Classe positive rare.
logistic_regression,linear,standard,1,0,ok,,,0.87,0.8566666666666667,0.42424242424242425,0.84,0.5637583892617449,0.9301666666666666,0.15301170000020647,0.04700279999997292,20260429_110129,class_imbalance,Classe positive rare.
logistic_regression,linear,standard,2,0,ok,,,0.883,0.8327777777777778,0.4502923976608187,0.77,0.5682656826568265,0.9157666666666666,0.16422700000020996,0.05182469999999739,20260429_110129,class_imbalance,Classe positive rare.
logistic_regression,linear,standard,3,0,ok,,,0.892,0.8777777777777778,0.4777777777777778,0.86,0.6142857142857143,0.9522555555555556,0.1895846999996138,0.04592969999976049,20260429_110129,class_imbalance,Classe positive rare.
ridge_classifier,linear,standard,1,0,ok,,,0.869,0.865,0.4236453201970443,0.86,0.5676567656765676,0.9374333333333333,0.12003240000012738,0.04535380000015721,20260429_110129,class_imbalance,Classe positive rare.
ridge_classifier,linear,standard,2,0,ok,,,0.885,0.8383333333333334,0.45614035087719296,0.78,0.5756457564575646,0.9210777777777778,0.11899090000042634,0.04456789999949251,20260429_110129,class_imbalance,Classe positive rare.
ridge_classifier,linear,standard,3,0,ok,,,0.891,0.8861111111111111,0.4756756756756757,0.88,0.6175438596491228,0.9480777777777778,0.12591319999955886,0.05220569999983127,20260429_110129,class_imbalance,Classe positive rare.
sgd_classifier,linear,standard,1,0,ok,,,0.905,0.8361111111111111,0.5172413793103449,0.75,0.6122448979591837,0.9269166666666666,0.11607639999965613,0.045966300000145566,20260429_110129,class_imbalance,Classe positive rare.
sgd_classifier,linear,standard,2,0,ok,,,0.874,0.8011111111111111,0.4226190476190476,0.71,0.5298507462686567,0.9008222222222222,0.11531300000024203,0.04487779999999475,20260429_110129,class_imbalance,Classe positive rare.
sgd_classifier,linear,standard,3,0,ok,,,0.905,0.8805555555555555,0.5151515151515151,0.85,0.6415094339622641,0.9445777777777778,0.11565510000036738,0.04608819999975822,20260429_110129,class_imbalance,Classe positive rare.
linear_svc,svm,standard,1,0,ok,,,0.881,0.8672222222222222,0.4497354497354497,0.85,0.5882352941176471,0.9310777777777778,0.1280962000000727,0.045605699999214266,20260429_110129,class_imbalance,Classe positive rare.
linear_svc,svm,standard,2,0,ok,,,0.89,0.8277777777777777,0.46875,0.75,0.5769230769230769,0.9159555555555556,0.1286454999999478,0.044765199999346805,20260429_110129,class_imbalance,Classe positive rare.
linear_svc,svm,standard,3,0,ok,,,0.895,0.8883333333333333,0.4861878453038674,0.88,0.6263345195729537,0.9512,0.13676849999956175,0.04573859999982233,20260429_110129,class_imbalance,Classe positive rare.
random_forest,ensemble_tree,standard,1,0,ok,,,0.901,0.5094444444444445,0.6666666666666666,0.02,0.038834951456310676,0.9122444444444444,0.4026267999997799,0.08444970000073226,20260429_110129,class_imbalance,Classe positive rare.
random_forest,ensemble_tree,standard,2,0,ok,,,0.9,0.5133333333333333,0.5,0.03,0.05660377358490566,0.8717555555555556,0.3978819999992993,0.08248329999969428,20260429_110129,class_imbalance,Classe positive rare.
random_forest,ensemble_tree,standard,3,0,ok,,,0.901,0.5138888888888888,0.6,0.03,0.05714285714285714,0.8988777777777778,0.43647390000023734,0.10628530000030878,20260429_110129,class_imbalance,Classe positive rare.
hist_gradient_boosting,boosting,dense,1,0,error,This Pipeline instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.,,,,,,,,,,20260429_110129,class_imbalance,Classe positive rare.
hist_gradient_boosting,boosting,dense,2,0,error,This Pipeline instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.,,,,,,,,,,20260429_110129,class_imbalance,Classe positive rare.
hist_gradient_boosting,boosting,dense,3,0,error,This Pipeline instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.,,,,,,,,,,20260429_110129,class_imbalance,Classe positive rare.
mlp,neural_network,standard,1,0,ok,,,0.925,0.7672222222222222,0.6404494382022472,0.57,0.6031746031746031,0.9371333333333334,0.6424322000002576,0.0486018999999942,20260429_110129,class_imbalance,Classe positive rare.
mlp,neural_network,standard,2,0,ok,,,0.926,0.7366666666666667,0.6756756756756757,0.5,0.5747126436781609,0.9187111111111111,0.5059700000001612,0.047771699999429984,20260429_110129,class_imbalance,Classe positive rare.
mlp,neural_network,standard,3,0,ok,,,0.899,0.49944444444444447,0.0,0.0,0.0,0.5923666666666667,0.2511011000005965,0.04852819999996427,20260429_110129,class_imbalance,Classe positive rare.
dummy,baseline,standard,1,1,ok,,,0.9,0.5,0.0,0.0,0.0,0.5,0.10097180000047956,0.04679759999999078,20260429_110129,class_imbalance,Classe positive rare.
dummy,baseline,standard,2,1,ok,,,0.9,0.5,0.0,0.0,0.0,0.5,0.10178600000017468,0.046412900000177615,20260429_110129,class_imbalance,Classe positive rare.
dummy,baseline,standard,3,1,ok,,,0.9,0.5,0.0,0.0,0.0,0.5,0.09936579999975947,0.0457114000000729,20260429_110129,class_imbalance,Classe positive rare.
logistic_regression,linear,standard,1,1,ok,,,0.887,0.8794444444444445,0.46524064171123,0.87,0.6062717770034843,0.9429444444444446,0.174638500000583,0.048495099999854574,20260429_110129,class_imbalance,Classe positive rare.
logistic_regression,linear,standard,2,1,ok,,,0.881,0.8494444444444444,0.44751381215469616,0.81,0.5765124555160143,0.9238,0.20207530000061524,0.05336429999988468,20260429_110129,class_imbalance,Classe positive rare.
logistic_regression,linear,standard,3,1,ok,,,0.884,0.86,0.45604395604395603,0.83,0.5886524822695035,0.9308888888888889,0.1962035000005926,0.04616580000038084,20260429_110129,class_imbalance,Classe positive rare.
